,name,description,picture_url,host_id,host_name,host_since,host_location,host_response_time,host_identity_verified,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,neighborhood
19261,"Spacious, Bright Harlem Treetop Duplex","Sit among the Harlem treetops in this spacious, sun-drenched duplex that sleeps six and offers a quiet respite from the City. <br /><br />Set on the top two floors of an owner-occupied historic Harlem brownstone, you are welcomed into a modern space with high ceilings, large dining area, open kitchen and spacious living room.<br /><br />The top floor features two large bedrooms -- queen bed and desk, a full bed and two single beds -- a large full bath with two sinks and a separate laundry room.<br /><br /><b>The space</b><br />New appliances and finishes. Decorated with original art and designer furniture and objects. As a brownstone with high floors, there are stairs to access the apartment and stairs within the apartment.<br /><br /><b>Guest access</b><br />Guests have access to the shared vestibule from which they enter the private apartment.<br /><br /><b>Other things to note</b><br />The apartment is close to Columbia University, Central Park and sits a few yards from the NYC Mara",https://a0.muscache.com/pictures/993cb9fe-4a78-4136-8f27-989734c268be.jpg,194047658,Jean,6/7/18,"New York, New York, United States",within an hour,t,Entire home/apt,6,1.5,2.0,4.0,"[""Refrigerator"", ""Essentials"", ""Cleaning before checkout"", ""Dryer"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Oven"", ""Air conditioning""]",$298.00,3,1125,35,100.0,East Harlem
19767,"Midtown 2Bed  1.5Bath Luxury Full Kitchen, Balcony","NYC VIEWS!!! It's a dream to have an outdoor space with the spectacular views of Manhattan!  Home to iconic skyscrapers like the Chrysler Building, Rockefeller Center, and United Nations Headquarters, but still Manhattan’s most prestigious residential building. Located along the East River, Midtown East is an area of convenience. With a walking distance of Grand Central Terminal location is ideal and the apartment is modern which makes for the perfect combination that travelers desire.",https://a0.muscache.com/pictures/395af339-03ea-4c17-8984-41d9abe04283.jpg,214347105,Beekman,9/8/18,US,within an hour,t,Entire home/apt,6,1.5,2.0,3.0,"[""Kitchen"", ""TV"", ""Carbon monoxide alarm"", ""Essentials"", ""Hangers"", ""Heating"", ""Smoke alarm"", ""Wifi"", ""Hair dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Air conditioning"", ""Iron"", ""Shampoo"", ""Building staff""]",$413.00,3,1125,27,98.0,Midtown
20202,Stylish brownstone apt with backyard in prime UES,"Beautiful 1600 sqft duplex in a historic brownstone. Ideally located next to subways and museums. Big private garden and working fireplace in the living room. Lots of character and charm. Private entrance. Wonderful piano in the master bedroom!<br />The kitchen (fully functional but dated), living room, renovated bathroom as well as a bedroom facing the street are on the ground floor. 2 bedrooms and one bathroom are on the second floor.<br /><br /><b>The space</b><br />Truly convenient location and at the same time very quiet. Large private garden which is quite rare in Manhattan. Lots of character. Suited for guests who value charm over perfect appliances etc as the kitchen is dated.<br /><br /><b>Guest access</b><br />Guests have access to the entire apartment.<br /><br /><b>Other things to note</b><br />The beautiful main bedroom overlooking the garden doesn't have a door.<br />There is no clothes dryer (I air dry).<br />Guests are welcome to use the private garden but I have a stri",https://a0.muscache.com/pictures/76499843-82cf-4f3d-8976-dcfabeeb74ee.jpg,7138174,Anne-Marie,6/26/13,"New York, New York, United States",within an hour,t,Entire home/apt,6,2.0,3.0,4.0,"[""Refrigerator"", ""Essentials"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Paid parking off premises"", ""Indoor fireplace"", ""Cooking basics"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Backyard"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$475.00,5,1125,11,98.0,Upper East Side
20691,Cheery Chelsea Charmer... best location!,"Bright, cheery kitsch and art filled one bedroom, two bath in the heart of Chelsea. Blocks away from main subway lines, Chelsea Market, the Highline, the art gallery district, amazing bars, cafes restaurants and shops. True NYC fantasy!<br /><br /><b>The space</b><br />Vintage whimsical decor, one of a kind art pieces, comfortable and clean, and everything you need for your perfect NYC getaway!  Our place is a 3rd floor walk up, so please note there are two flights of stairs up to the apartment.",https://a0.muscache.com/pictures/37a6d9ad-2181-4294-ba8b-0b7ad7de776c.jpg,3896863,Susanna And Ricki,10/17/12,"New Orleans, Louisiana, United States",within an hour,t,Entire home/apt,4,1.5,1.0,2.0,"[""Refrigerator"", ""Essentials"", ""Breakfast"", ""Dryer"", ""Long term stays allowed"", ""Private entrance"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Oven"", ""Air conditioning""]",$141.00,2,1125,68,97.0,Chelsea
21381,Harlem-Gem,"Spacious and beautiful condominium located in the heart of Harlem walking distance to Central Park, Located near the Apollo theatre, walking Central Park, museums, minutes away from shopping stores like Victoria Secrets, movie theaters and minutes away from Time Square. Walking distance from public transportation. Sleeps up to SIX People<br /><br /><b>The space</b><br />My place is located close to Central Park West and Columbia University. It is very modern and clean. Public transportation just steps away and can take you everywhere in New York City. My place is good for couples,families with kids,business travelers, friends and solo adventurers.<br />on 125th street we have one of the best shopping area in NYC. You can find great bargain.<br />If you like walking, biking,boating and other sport activities Central Park will be your place.<br />COME TO VISIT NEW YORK CITY!!!<br />The space<br /><br />Guest can use all apartment. Bedroom, Living Room, Kitchen and Bathroom. There is neve",https://a0.muscache.com/pictures/41d88d00-fb39-4428-bea5-f58e7e838109.jpg,230481249,Katherine,12/13/18,"New York, New York, United States",within a few hours,t,Entire home/apt,6,2.0,3.0,4.0,"[""Refrigerator"", ""Essentials"", ""Cleaning before checkout"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Paid parking off premises"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Smoke alarm"", ""Washer"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$399.00,5,1125,65,99.0,East Harlem
24093,Perfect Large Apt for your NYC Stay!,"Great for large groups.  There is plenty of space to enjoy the duplex with 2500 square feet, 4 bedrooms/3 bathrooms, and a private garden (8am-8pm). Located between Central and Riverside Parks on the Upper West Side - it doesn't get any more local than this. Very clean and well organized at all times .  Pets allowed prior authorization needed additional $100 fee - Ask about early bag drop off or leaving bags late to help with your flights. Use BestParking App/Website for best parking options.<br /><br /><b>The space</b><br />The space is very modern and chic.  It's hard to find something like this in this location.<br /><br />You must be 23 years of older to rent and no more than the registered number of guests are allowed in the apartment at any point in time without prior written consent of the owner.  Thank you.<br /><br /><b>Guest access</b><br />All apartment",https://a0.muscache.com/pictures/d62d3736-1d5d-44d0-aab4-c39a7ed986e5.jpg,247094998,Bennett,3/5/19,US,within a few hours,t,Entire home/apt,14,3.0,4.0,9.0,"[""Security cameras on property"", ""Refrigerator"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Paid parking off premises"", ""Cooking basics"", ""Shampoo"", ""Bathtub"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""High chair"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Backyard"", ""Oven"", ""Bed linens"", ""Babysitter recommendations"", ""Air conditioning""]",$643.00,3,1125,23,98.0,Upper West Side
25061,"Beautiful, Comfy Apt Near C.park and subway!",,https://a0.muscache.com/pictures/b2c7cab4-f48c-4ec3-8da1-036da8e984cf.jpg,145252418,Claudio,8/9/17,"New York, New York, United States",within an hour,t,Entire home/apt,10,2.0,3.0,3.0,"[""Refrigerator"", ""Essentials"", ""Cleaning before checkout"", ""Dryer"", ""Patio or balcony"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Paid parking off premises"", ""Single level home"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$243.00,3,1125,12,93.0,East Harlem
25835,Sonder | Downtown 2BR | Weekly Discounts,"Whether you are just getting away for the weekend or looking for an extended stay, we’re committed to creating comfortable experiences for our guests. We offer contact-free check-in and 24/7 virtual support which limits in-person interaction. In addition to following the guidance of the CDC and the World Health Organization, we’re partnering with sanitization experts at the Cleveland Clinic to ensure that all of our cleaning standards follow the advice of leaders in the field. We’ve put safety seals on high-touch items, stocked all spaces with complimentary hand sanitizer, and added social distancing signage in common areas. Each space is carefully designed and run by us, so you’ll always know what to expect.<br /><br />- Digital check-in<br />- Professionally cleaned<br />- 24/7 virtual concierge via text, email, or phone<br />- Private all-in-one living spaces (ample work space)<br />- Utilities included (even for longer stays)<br />- Coffee, fresh towels, and bathroom essentials pro",https://a0.muscache.com/pictures/prohost-api/Hosting-38480777/original/5e4a3a73-5b0e-4e1e-bfa3-7adb18bb7755.jpeg,219517861,Sonder (NYC),10/8/18,"New York, New York, United States",within an hour,t,Entire home/apt,6,2.0,2.0,3.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Gym"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$292.00,2,1125,84,89.0,Financial District
25974,Sonder | 1BR + Den in Financial District,"Whether you are just getting away for the weekend or looking for an extended stay, we’re committed to creating comfortable experiences for our guests. We offer contact-free check-in and 24/7 virtual support which limits in-person interaction. In addition to following the guidance of the CDC and the World Health Organization, we’re partnering with sanitization experts at the Cleveland Clinic to ensure that all of our cleaning standards follow the advice of leaders in the field. We’ve put safety seals on high-touch items, stocked all spaces with complimentary hand sanitizer, and added social distancing signage in common areas. Each space is carefully designed and run by us, so you’ll always know what to expect.<br /><br />- Digital check-in<br />- Professionally cleaned<br />- 24/7 virtual concierge via text, email, or phone<br />- Private all-in-one living spaces (ample work space)<br />- Utilities included (even for longer stays)<br />- Coffee, fresh towels, and bathroom essentials pro",https://a0.muscache.com/pictures/f8181cb6-3ed7-48a4-b913-f6b9db8341b5.jpg,219517861,Sonder (NYC),10/8/18,"New York, New York, United States",within an hour,t,Entire home/apt,6,2.0,2.0,3.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Gym"", ""Wifi"", ""Hair dryer"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$252.00,2,1125,35,91.0,Financial District
26087,"Private, Gorgeous! UV Disinfected-2br/2ba & Patio","Stay in the garden apartment of an 1850's New York townhouse. You have the whole floor of a private townhouse. This recently renovated 2BR/2BA will be your home away from home. <br /><br />Centrally located within a block of most major subway lines, half a block from a grocery store & walking distance to all of the restaurants that Chelsea and Greenwich Village have to offer.<br /><br />Daily rates are discounted due to construction next door.<br /><br /><b>The space</b><br />Beautiful Private Townhouse in the Chelsea neighborhood of Manhattan, NYC. Close to the High-line elevated park, Chelsea Market, Chelsea Piers, Washington Square Park, Etc. Half a block away from the 1,2,3,A,C,E subway and one block from the F train.<br /><br /><b>Guest access</b><br />Self check-in! <br />Entire apartment available. Small back yard. Washer/dryer in the basement.<br /><br /><b>Other things to note</b><br />15% Discount for 7 days (or more) <br /><br />20% Discount for 28 days (or more) <br /><br /",https://a0.muscache.com/pictures/24767712-6cc8-4315-8bf9-7f4f6b492d3d.jpg,297452190,Ruben,9/23/19,"New York, New York, United States",within an hour,t,Entire home/apt,4,2.0,2.0,2.0,"[""Cable TV"", ""Refrigerator"", ""Essentials"", ""Dryer"", ""Patio or balcony"", ""Long term stays allowed"", ""Private entrance"", ""Freezer"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""First aid kit"", ""Baking sheet"", ""Clothing storage"", ""Hot water kettle"", ""Dishes and silverware"", ""Kitchen"", ""Outdoor dining area"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Single level home"", ""Cooking basics"", ""Toaster"", ""Shampoo"", ""Barbecue utensils"", ""Room-darkening shades"", ""Stove"", ""Dining table"", ""BBQ grill"", ""Lockbox"", ""Ethernet connection"", ""Hot water"", ""Wine glasses"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Sound system"", ""Backyard"", ""Oven"", ""Cleaning products"", ""Bed linens"", ""Outdoor furniture"", ""Air conditioning"", ""Window guards""]",$349.00,3,30,42,99.0,Chelsea
26654,Luxury 4 Bedroom/3 Bath Duplex - Manhattan,"Gorgeous, Fully Gut Renovated 4 Bedroom Duplex located in a Brand New Building with a Virtual Doorman on Lexington Avenue. Conveniently located steps away from the Subway Line! This one of a kind apartment includes top of the line features such as: Four large bedrooms all with ample Closet Space. Massive Living Room with 2 Skylights providing Tons Of Natural light! Short distance from beautiful parks and fine dining restaurants! Apartment is perfect for large or small groups visiting the city!<br /><br /><b>The space</b><br />Absolutely stunning, fully gut renovation Four Bedroom Duplex! <br />Upon entering you will be greeted with a Fully Stocked Gorgeous Kitchen with stainless steel appliances! Alongside that there is a large accommodating dining room perfect for group gatherings! Next to the dining area is a fully functional living room with Two Beautiful Skylights set up with Cable TV & Wifi!. As you make your way upstairs to the second level of the apartment you have Four Large Be",https://a0.muscache.com/pictures/ba0133f7-ba27-4638-a59a-922b66559648.jpg,303884392,Samantha,10/22/19,"Port Chester, New York, United States",within an hour,t,Entire home/apt,8,3.0,4.0,6.0,"[""Cable TV"", ""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$419.00,2,90,90,95.0,East Harlem
28474,Sonder | 1BR + Den Near City Acres Market,"Whether you are just getting away for the weekend or looking for an extended stay, we’re committed to creating comfortable experiences for our guests. We offer contact-free check-in and 24/7 virtual support which limits in-person interaction. In addition to following the guidance of the CDC and the World Health Organization, we’re partnering with sanitization experts at the Cleveland Clinic to ensure that all of our cleaning standards follow the advice of leaders in the field. We’ve put safety seals on high-touch items, stocked all spaces with complimentary hand sanitizer, and added social distancing signage in common areas. Each space is carefully designed and run by us, so you’ll always know what to expect.<br /><br />- Digital check-in<br />- Professionally cleaned<br />- 24/7 virtual concierge via text, email, or phone<br />- Private all-in-one living spaces (ample work space)<br />- Utilities included (even for longer stays)<br />- Coffee, fresh towels, and bathroom essentials pro",https://a0.muscache.com/pictures/1e44e80a-aefb-4f2f-8293-640debeaa70d.jpg,219517861,Sonder (NYC),10/8/18,"New York, New York, United States",within an hour,t,Entire home/apt,4,2.0,2.0,2.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Gym"", ""Wifi"", ""Hair dryer"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$295.00,2,1125,11,84.0,Financial District
28480,Chic Luxury 2Bed 2Bath Home in Chelsea,"Meticulously, professionally cleaned and sanitized by my dedicated housekeeping team who I’ve been working with for 7 years! Chic luxury home in an unbeatable Chelsea location. True two-bedroom, two-bathroom. Only one flight of stairs up, on the second floor.<br /><br /><b>The space</b><br />Fantastic layout with a bedroom + bathroom on each end of the apartment, and living room + open kitchen/dining area in the middle, creating the perfect gathering space or an opportunity for additional sleeping arrangements.<br /><br /><b>Guest access</b><br />Contact-free key pick-up and access.",https://a0.muscache.com/pictures/49030cb8-f8cb-4150-860d-8737230181ef.jpg,314027406,Silvana,12/2/19,GB,within an hour,t,Entire home/apt,8,2.0,2.0,3.0,"[""Cable TV"", ""Refrigerator"", ""Shower gel"", ""Essentials"", ""Long term stays allowed"", ""Freezer"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Fire extinguisher"", ""Central heating"", ""Free street parking"", ""Cooking basics"", ""Toaster"", ""Shampoo"", ""Stove"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Smoke alarm"", ""Oven"", ""Bed linens"", ""Window AC unit"", ""Paid parking garage off premises""]",$199.00,2,1125,27,98.0,Chelsea
29279,Unique 1 bedroom apt in heart of shopping district,"This is a unique one bedroom in the heart of the shopping district.  Just blocks from Bloomingdales and Bergdorf Goodman’s. I own the Pilates studio downstairs and rent out the apartments above. Come stay and take Pilates at a discount!   There’s no window in the bedroom, but other than that this one bedroom is perfect for your weekend getaway or work trip.  No elevator, we are in a 5 story walk up townhouse type building.  Lots of artwork throughout. Dunkin Donuts right outside our door.<br /><br /><b>The space</b><br />The apartment is on the 4th floor of a walk up and boasts a gorgeous king bed, 1.5 baths and a cute kitchenette for coffee and toasting bagels!  Facing the back of the building, it’s nice and quiet.<br /><br /><b>Guest access</b><br />Own entrance from building hallway<br /><br /><b>Other things to note</b><br />There’s no window in the bedroom. There no full kitchen, but otherwise it’s a beautiful and cozy space",https://a0.muscache.com/pictures/pro_photo_tool/Hosting-42622550-unapproved/original/d82564df-43ce-4102-9f64-418511a14ced.JPEG,7652744,Adam,7/22/13,"New York, New York, United States",within an hour,t,Entire home/apt,4,1.5,1.0,4.0,"[""Security cameras on property"", ""Refrigerator"", ""Essentials"", ""Cleaning before checkout"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Smoke alarm"", ""Air conditioning""]",$155.00,3,28,22,95.0,Midtown
30577,Big 🍎 NYC STAY & TRAVEL like ROYALTY w/ Elevator,<b>The space</b><br />Full kitchen with everything for cooking and having a nice dinner at home. Cable TV plus Smart TV. Very fast Wifi and table for working.<br /><br />Each bedroom has a queen bed.<br /><br />All nicely done with new high end sheets and bedding.<br /><br />Washer and Dryer available. We provide towels and extra pillows and anything you may need to make your stay comfortable.<br /><br />A lot of windows and yet no street noise. The subway is also very close. Only a 2 minute walk.,https://a0.muscache.com/pictures/1e4f1b03-c0f5-4c06-a928-873f4e512fc0.jpg,317893501,Rose,12/15/19,GB,within an hour,t,Entire home/apt,12,1.5,4.0,5.0,"[""Cable TV"", ""Refrigerator"", ""Shower gel"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""Baking sheet"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Paid parking on premises"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Bathtub"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Backyard"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$681.00,1,365,15,89.0,Chelsea
32394,Sonder at Battery Park | Ideal 3BR | Discounted Rates,"Whether you are just getting away for the weekend or looking for an extended stay, we’re committed to creating comfortable experiences for our guests. We offer contact-free check-in and 24/7 virtual support which limits in-person interaction. In addition to following the guidance of the CDC and the World Health Organization, we’re partnering with sanitization experts at the Cleveland Clinic to ensure that all of our cleaning standards follow the advice of leaders in the field. We’ve put safety seals on high-touch items, stocked all spaces with complimentary hand sanitizer, and added social distancing signage in common areas. Each space is carefully designed and run by us, so you’ll always know what to expect.<br /><br />- Digital check-in<br />- Professionally cleaned<br />- 24/7 virtual concierge via text, email, or phone<br />- Private all-in-one living spaces (ample work space)<br />- Utilities included (even for longer stays)<br />- Coffee, fresh towels, and bathroom essentials pro",https://a0.muscache.com/pictures/61cb56b1-ab8a-4f21-8ec3-63564d65e1ab.jpg,219517861,Sonder (NYC),10/8/18,"New York, New York, United States",within an hour,t,Entire home/apt,8,2.0,3.0,4.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$325.00,2,365,11,95.0,Financial District
35068,3Br Cove at Hamilton Heights-Next to Subway,"3 Bedroom 2 Bath Centrally located apartment, close to 1 & A,C Subway train for great exploration of NYC. All rooms have heat, Air conditioning, TV(Netflix, amazon), Queen Size Bed, Clean Sheets, Towels. The apartment has good Strong Wifi throughout. The Kitchen has all kitchen essentials needed if you would like to cook. Lastly, the neighborhood is a microcosm of NYC with a variety of different eateries and  small shops, bars, lounges, restaurants and a great park along the water(riverside).<br /><br /><b>The space</b><br />The entire apartment is available for usage<br /><br /><b>Guest access</b><br />Entire space is available<br /><br /><b>Other things to note</b><br />Anything needed to please contact",https://a0.muscache.com/pictures/d32143d9-f22e-4830-933e-7a9d811edcf2.jpg,19201987,Kayser,7/30/14,"New York, New York, United States",within an hour,t,Entire home/apt,8,2.0,3.0,4.0,"[""Kitchen"", ""TV"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Dryer"", ""Essentials"", ""Heating"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Private entrance"", ""Dedicated workspace"", ""Breakfast"", ""Air conditioning"", ""Long term stays allowed"", ""Iron"", ""Shampoo"", ""First aid kit""]",$156.00,2,90,17,86.0,Washington Heights
